LSOA21NM,LSOA21CD,Total,ASG_AB,ASG_C1,ASG_C2,ASG_DE
City of London 001A,E01000001,1087,683,342,19,43
City of London 001B,E01000002,1091,701,330,27,33
City of London 001C,E01000003,1307,628,424,81,174
City of London 001E,E01000005,911,180,228,156,347
City of London 001F,E01032739,1423,822,461,40,100
City of London 001G,E01032740,1259,730,421,61,47
Barking and Dagenham 001A,E01000027,1875,204,465,577,629
Barking and Dagenham 001B,E01000028,1594,177,420,459,538
Barking and Dagenham 001C,E01000029,1413,303,444,401,265
Barking and Dagenham 001D,E01000030,2352,291,667,587,807
Barking and Dagenham 002A,E01000031,1488,333,503,298,354
Barking and Dagenham 002B,E01000032,1787,268,501,473,545
Barking and Dagenham 002C,E01000110,1363,279,416,393,275
Barking and Dagenham 002D,E01000111,1869,224,484,599,562
Barking and Dagenham 002E,E01000112,1752,279,555,398,520
Barking and Dagenham 002F,E01000113,1778,347,567,448,416
Barking and Dagenham 003A,E01000034,1273,166,367,363,377
Barking and Dagenham 003B,E01000037,1328,279,444,386,219
Barking and Dagenham 003C,E01000038,1324,255,433,378,258
Barking and Dagenham 003D,E01000039,1466,269,527,335,335
Barking and Dagenham 004A,E01000063,1588,232,462,397,497
Barking and Dagenham 004B,E01000100,1731,203,440,492,596
Barking and Dagenham 004C,E01000101,1485,180,425,427,453
Barking and Dagenham 004E,E01000114,2208,328,744,566,570
Barking and Dagenham 004F,E01034469,1666,504,522,308,332
Barking and Dagenham 004G,E01034470,1356,183,405,382,386
Barking and Dagenham 006A,E01000033,1369,130,335,376,528
Barking and Dagenham 006B,E01000060,1941,220,676,476,569
Barking and Dagenham 006C,E01000061,1748,178,453,365,752
Barking and Dagenham 006D,E01000062,1952,274,557,600,521
Barking and Dagenham 006E,E01000064,1991,267,591,563,570
Barking and Dagenham 007A,E01000065,1676,160,493,427,596
Barking and Dagenham 007B,E01000078,1746,188,487,492,579
Barking and Dagenham 007C,E01000080,1610,154,502,458,496
Barking and Dagenham 007D,E01000081,1776,180,489,654,453
Barking and Dagenham 007E,E01000082,1726,187,504,496,539
Barking and Dagenham 007F,E01000083,1744,290,400,481,573
Barking and Dagenham 007G,E01000102,1567,146,427,487,507
Barking and Dagenham 008A,E01000021,1525,145,400,384,596
Barking and Dagenham 008B,E01000022,1307,204,352,299,452
Barking and Dagenham 008D,E01000024,1324,179,393,336,416
Barking and Dagenham 008E,E01000025,1676,213,526,456,481
Barking and Dagenham 008F,E01000077,1556,156,402,509,489
Barking and Dagenham 008G,E01034471,2556,393,631,751,781
Barking and Dagenham 008H,E01034472,1851,310,576,424,541
Barking and Dagenham 009A,E01000015,2220,221,612,659,728
Barking and Dagenham 009B,E01000016,1677,214,474,513,476
Barking and Dagenham 009C,E01000017,1524,197,434,381,512
Barking and Dagenham 009D,E01000018,1591,132,454,528,477
Barking and Dagenham 009E,E01000079,1492,140,445,457,450
Barking and Dagenham 010A,E01000035,1562,210,440,436,476
Barking and Dagenham 010B,E01000036,1283,163,348,371,401
Barking and Dagenham 010C,E01000107,1457,154,428,478,397
Barking and Dagenham 010D,E01000108,1689,173,465,558,493
Barking and Dagenham 011A,E01000066,2237,477,614,598,548
Barking and Dagenham 011B,E01000067,1965,349,669,351,596
Barking and Dagenham 011C,E01000069,1888,407,640,397,444
Barking and Dagenham 011D,E01000070,1794,340,610,420,424
Barking and Dagenham 011E,E01000071,2327,514,676,565,572
Barking and Dagenham 012A,E01000057,1368,148,339,374,507
Barking and Dagenham 012B,E01000073,1625,221,557,456,391
Barking and Dagenham 012C,E01000074,1592,173,457,453,509
Barking and Dagenham 012D,E01000075,1805,175,501,609,520
Barking and Dagenham 012E,E01000076,1935,162,500,487,786
Barking and Dagenham 013A,E01000013,1683,176,459,545,503
Barking and Dagenham 013B,E01000014,1571,160,453,491,467
Barking and Dagenham 013C,E01000059,1452,121,459,448,424
Barking and Dagenham 013D,E01000084,1259,155,314,386,404
Barking and Dagenham 013E,E01000085,1468,151,401,426,490
Barking and Dagenham 013F,E01000086,1248,157,321,343,427
Barking and Dagenham 014A,E01000103,1611,198,520,427,466
Barking and Dagenham 014B,E01000104,1726,228,438,514,546
Barking and Dagenham 014C,E01000105,2095,247,602,500,746
Barking and Dagenham 014D,E01000106,1981,164,533,492,792
Barking and Dagenham 015A,E01000007,2834,432,940,528,934
Barking and Dagenham 015B,E01000008,1692,161,505,392,634
Barking and Dagenham 015D,E01000012,2250,228,625,557,840
Barking and Dagenham 015E,E01034473,1168,229,291,245,403
Barking and Dagenham 015F,E01034474,2166,647,555,393,571
Barking and Dagenham 016A,E01000006,1660,272,468,452,468
Barking and Dagenham 016B,E01000009,1612,245,361,463,543
Barking and Dagenham 016C,E01000011,1520,144,393,450,533
Barking and Dagenham 016D,E01000044,1848,274,462,536,576
Barking and Dagenham 016E,E01000068,1543,300,539,331,373
Barking and Dagenham 017A,E01000041,1650,177,542,546,385
Barking and Dagenham 017B,E01000042,1737,215,504,373,645
Barking and Dagenham 017C,E01000045,1542,186,403,441,512
Barking and Dagenham 017D,E01000046,1762,194,505,589,474
Barking and Dagenham 017E,E01000072,1939,204,562,589,584
Barking and Dagenham 018A,E01000054,1642,152,553,486,451
Barking and Dagenham 018B,E01000055,1501,134,502,388,477
Barking and Dagenham 018C,E01000056,1494,164,410,463,457
Barking and Dagenham 018D,E01000058,1934,184,582,631,537
Barking and Dagenham 018E,E01000095,2097,318,743,392,644
Barking and Dagenham 019A,E01000040,1677,184,433,468,592
Barking and Dagenham 019B,E01000043,1340,168,334,377,461
Barking and Dagenham 019C,E01000050,1643,234,515,434,460
Barking and Dagenham 019D,E01000052,2144,236,607,543,758
Barking and Dagenham 019F,E01034475,1611,158,439,443,571
Barking and Dagenham 019G,E01034476,1761,310,565,389,497
Barking and Dagenham 019H,E01034477,1560,271,484,401,404
Barking and Dagenham 019I,E01034478,1193,322,463,234,174
Barking and Dagenham 020A,E01000053,1399,126,428,421,424
Barking and Dagenham 020B,E01000087,1450,174,385,440,451
Barking and Dagenham 020C,E01000088,1682,233,481,425,543
Barking and Dagenham 020D,E01000089,1649,162,441,466,580
Barking and Dagenham 020E,E01000090,1534,146,482,394,512
Barking and Dagenham 021C,E01000049,1871,108,452,566,745
Barking and Dagenham 021D,E01000051,1074,212,401,257,204
Barking and Dagenham 021E,E01033587,2367,497,781,481,608
Barking and Dagenham 021G,E01034479,2062,198,660,484,720
Barking and Dagenham 022A,E01000091,1848,203,490,476,679
Barking and Dagenham 022B,E01000093,1656,161,439,452,604
Barking and Dagenham 022C,E01000094,2403,382,818,490,713
Barking and Dagenham 022D,E01000096,1553,225,373,362,593
Barking and Dagenham 023A,E01000019,1493,171,443,398,481
Barking and Dagenham 023B,E01000020,1932,185,551,566,630
Barking and Dagenham 023C,E01000097,1692,205,443,523,521
Barking and Dagenham 023D,E01000098,1745,183,518,403,641
Barking and Dagenham 023E,E01000099,2562,433,813,672,644
Barking and Dagenham 023F,E01032580,1400,164,354,358,524
Barnet 001A,E01000248,1313,640,417,116,140
Barnet 001B,E01000249,1193,585,422,100,86
Barnet 001C,E01000250,2083,719,702,250,412
Barnet 001D,E01000254,1183,582,387,113,101
Barnet 001E,E01000292,1124,455,346,183,140
