Local authority code,Local authority name,LSOA21CD,LSOA name,Year ending Dec 2021
E09000001,City of London,E01000001,City of London 001A,"840,000"
E09000001,City of London,E01000002,City of London 001B,"817,500"
E09000001,City of London,E01000003,City of London 001C,"540,000"
E09000001,City of London,E01000005,City of London 001E,:
E09000001,City of London,E01032739,City of London 001F,"870,000"
E09000001,City of London,E01032740,City of London 001G,"812,000"
E09000002,Barking and Dagenham,E01000006,Barking and Dagenham 016A,"410,000"
E09000002,Barking and Dagenham,E01000007,Barking and Dagenham 015A,"330,000"
E09000002,Barking and Dagenham,E01000008,Barking and Dagenham 015B,:
E09000002,Barking and Dagenham,E01000009,Barking and Dagenham 016B,"244,500"
E09000002,Barking and Dagenham,E01000011,Barking and Dagenham 016C,"415,000"
E09000002,Barking and Dagenham,E01000012,Barking and Dagenham 015D,"310,000"
E09000002,Barking and Dagenham,E01000013,Barking and Dagenham 013A,"347,000"
E09000002,Barking and Dagenham,E01000014,Barking and Dagenham 013B,"310,000"
E09000002,Barking and Dagenham,E01000015,Barking and Dagenham 009A,"300,000"
E09000002,Barking and Dagenham,E01000016,Barking and Dagenham 009B,"327,000"
E09000002,Barking and Dagenham,E01000017,Barking and Dagenham 009C,"318,500"
E09000002,Barking and Dagenham,E01000018,Barking and Dagenham 009D,"348,500"
E09000002,Barking and Dagenham,E01000019,Barking and Dagenham 023A,"328,000"
E09000002,Barking and Dagenham,E01000020,Barking and Dagenham 023B,"355,000"
E09000002,Barking and Dagenham,E01000021,Barking and Dagenham 008A,"358,750"
E09000002,Barking and Dagenham,E01000022,Barking and Dagenham 008B,"365,000"
E09000002,Barking and Dagenham,E01000024,Barking and Dagenham 008D,"317,500"
E09000002,Barking and Dagenham,E01000025,Barking and Dagenham 008E,"327,000"
E09000002,Barking and Dagenham,E01000027,Barking and Dagenham 001A,"337,500"
E09000002,Barking and Dagenham,E01000028,Barking and Dagenham 001B,"300,000"
E09000002,Barking and Dagenham,E01000029,Barking and Dagenham 001C,"391,500"
E09000002,Barking and Dagenham,E01000030,Barking and Dagenham 001D,"325,000"
E09000002,Barking and Dagenham,E01000031,Barking and Dagenham 002A,"410,000"
E09000002,Barking and Dagenham,E01000032,Barking and Dagenham 002B,"437,500"
E09000002,Barking and Dagenham,E01000033,Barking and Dagenham 006A,"355,000"
E09000002,Barking and Dagenham,E01000034,Barking and Dagenham 003A,"390,000"
E09000002,Barking and Dagenham,E01000035,Barking and Dagenham 010A,"400,000"
E09000002,Barking and Dagenham,E01000036,Barking and Dagenham 010B,"378,500"
E09000002,Barking and Dagenham,E01000037,Barking and Dagenham 003B,"438,000"
E09000002,Barking and Dagenham,E01000038,Barking and Dagenham 003C,"435,000"
E09000002,Barking and Dagenham,E01000039,Barking and Dagenham 003D,"366,000"
E09000002,Barking and Dagenham,E01000040,Barking and Dagenham 019A,"352,500"
