LSOA21CD,LSOA21NM,GlobalID,EVCI2024,EVCI2023,EVCI2022,EVCI2021,EVCI2020,EVCI2019,EVCI2018,EVCI2017,EVCI2015,EVCI2013,EVCI2012,Fuel,Keepership,y2024Q2,y2024Q1,y2023Q4,y2023Q3,y2023Q2,y2023Q1,y2022Q4,y2022Q3,y2022Q2,y2022Q1,y2021Q4,y2021Q3,y2021Q2,y2021Q1,y2020Q4,y2020Q3,y2020Q2,y2020Q1,y2019Q4,y2019Q3,y2019Q2,y2019Q1,y2018Q4,y2018Q3,y2018Q2,y2018Q1,y2017Q4,y2017Q3,y2017Q2,y2017Q1,y2016Q4,y2016Q3,y2016Q2,y2016Q1,y2015Q4,y2015Q3,y2015Q2,y2015Q1,y2014Q4,y2014Q3,y2014Q2,y2014Q1,y2013Q4,y2013Q3,y2013Q2,y2013Q1,y2012Q4,y2012Q3,y2012Q2,y2012Q1,y2011Q4
E01000001,City of London 001A,f1865556-4e62-48e3-a025-d93a40f15e46,21.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,40.0,37.0,37.0,39.0,38.0,36.0,35.0,35.0,36.0,33.0,23.0,22.0,19.0,15.0,15.0,15.0,14.0,8.0,8.0,6.0,6.0,6.0,2.5,5.0,7.0,6.0,5.0,5.0,5.0,5.0,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000002,City of London 001B,83e78aad-ee05-44a5-a8d3-077de6ed4053,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,39.0,36.0,39.0,40.0,48.0,43.0,40.0,39.0,33.0,32.0,33.0,34.0,27.0,32.0,29.0,25.0,17.0,15.0,11.0,10.0,11.0,11.0,10.0,8.0,6.0,6.0,7.0,5.0,6.0,28.0,28.0,28.0,26.0,15.0,14.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
E01000003,City of London 001C,69c457df-229e-4446-9577-95ac1c9be694,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,19.0,18.0,18.0,18.0,19.0,21.0,19.0,20.0,18.0,16.0,15.0,14.0,13.0,12.0,10.0,8.0,6.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
E01000005,City of London 001E,d537d59f-237a-45ed-a514-b0ab2a93e510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,24.0,22.0,86.0,85.0,89.0,82.0,80.0,14.0,13.0,11.0,11.0,7.0,6.0,2.5,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,2.5,2.5,2.5,5.0,2.5,2.5,2.5,6.0,7.0,7.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000006,Barking and Dagenham 016A,8d0081fe-69e2-48ac-aaf9-fd270d60e339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,27.0,22.0,19.0,18.0,18.0,14.0,12.0,12.0,11.0,14.0,12.0,10.0,9.0,9.0,9.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000007,Barking and Dagenham 015A,1789c4b2-1274-49b2-8f9d-6a875d88c2f7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,28.0,25.0,26.0,24.0,22.0,19.0,16.0,16.0,19.0,16.0,13.0,15.0,14.0,7.0,6.0,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000008,Barking and Dagenham 015B,9e0f5410-f7d7-4972-b55e-39bd02b801bc,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,102.0,68.0,57.0,62.0,44.0,33.0,29.0,29.0,31.0,24.0,17.0,11.0,10.0,10.0,8.0,6.0,7.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000009,Barking and Dagenham 016B,ec5d3cb0-d29c-4ff6-b42f-276979440c6f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,20.0,16.0,17.0,14.0,12.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000011,Barking and Dagenham 016C,f3fa9f34-53ed-4993-aa5d-3d7a977e064d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,16.0,18.0,14.0,14.0,14.0,11.0,9.0,9.0,10.0,8.0,6.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000012,Barking and Dagenham 015D,874c22bd-29a2-4f14-8f8b-314a0136ce47,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Total,Total,23.0,18.0,15.0,14.0,11.0,9.0,7.0,6.0,6.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
